apodo;correo;tiempo
Elsa_tanas;Elsa_tanas@gmail.com;3:55:12,242
Elsa_tanas;Elsa_tanas@gmail.com;3:36:24,914
Elsa_tanas;Elsa_tanas@gmail.com;1:30:39,092
Elsa_tanas;Elsa_tanas@gmail.com;1:22:30,836
Elsa_tanas;Elsa_tanas@gmail.com;2:14:20,227
Righty;Righty@hotmail.com;2:04:52,783
Righty;Righty@hotmail.com;3:11:30,261
Righty;Righty@hotmail.com;3:29:51,394
Righty;Righty@hotmail.com;3:04:42,677
Righty;Righty@hotmail.com;2:36:08,664
Amidala;Amidala@hotmail.com;2:19:41,279
Amidala;Amidala@hotmail.com;1:24:15,975
Amidala;Amidala@hotmail.com;3:17:11,949
Amidala;Amidala@hotmail.com;3:20:54,825
Amidala;Amidala@hotmail.com;2:36:30,803
Few_Lulu;Few_Lulu@vtr.net;3:02:29,137
Few_Lulu;Few_Lulu@vtr.net;1:13:19,763
Few_Lulu;Few_Lulu@vtr.net;1:33:52,913
Few_Lulu;Few_Lulu@vtr.net;2:06:14,012
Few_Lulu;Few_Lulu@vtr.net;1:52:51,714
Diesel;Diesel@yahoo.com;3:22:50,207
Diesel;Diesel@yahoo.com;3:58:11,973
Diesel;Diesel@yahoo.com;1:54:57,174
Diesel;Diesel@yahoo.com;1:21:54,760
Diesel;Diesel@yahoo.com;2:59:07,710
