apodo;correo;tiempo
Federico_Bear;Federico_Bear@email.com;2:48:45,694
Federico_Bear;Federico_Bear@email.com;3:03:48,230
Federico_Bear;Federico_Bear@email.com;2:01:29,966
Federico_Bear;Federico_Bear@email.com;1:00:54,150
Federico_Bear;Federico_Bear@email.com;1:19:44,597
Chicle;Chicle@email.com;2:50:49,787
Chicle;Chicle@email.com;3:07:20,759
Chicle;Chicle@email.com;1:53:21,459
Chicle;Chicle@email.com;1:53:48,710
Chicle;Chicle@email.com;3:32:51,482
Vida;Vida@yahoo.com;1:02:30,593
Vida;Vida@yahoo.com;2:48:16,738
Vida;Vida@yahoo.com;2:47:30,937
Vida;Vida@yahoo.com;2:35:10,234
Vida;Vida@yahoo.com;3:59:41,652
Catwoman;Catwoman@gmail.com;2:57:35,149
Catwoman;Catwoman@gmail.com;1:48:02,977
Catwoman;Catwoman@gmail.com;1:03:34,927
Catwoman;Catwoman@gmail.com;3:18:25,884
Catwoman;Catwoman@gmail.com;1:06:34,562
