apodo;correo;tiempo
Rosie;Rosie@gmail.com;3:08:02,829
Rosie;Rosie@gmail.com;3:27:57,704
Rosie;Rosie@gmail.com;3:21:00,841
Rosie;Rosie@gmail.com;1:17:24,017
Rosie;Rosie@gmail.com;1:55:46,969
BloodFlare;BloodFlare@hotmail.com;2:27:36,100
BloodFlare;BloodFlare@hotmail.com;2:56:59,557
BloodFlare;BloodFlare@hotmail.com;2:43:58,457
BloodFlare;BloodFlare@hotmail.com;1:49:33,847
BloodFlare;BloodFlare@hotmail.com;3:45:49,871
Highlander;Highlander@email.com;1:26:59,593
Highlander;Highlander@email.com;2:09:53,164
Highlander;Highlander@email.com;3:59:41,652
Highlander;Highlander@email.com;2:54:35,551
Highlander;Highlander@email.com;2:28:51,749
