apodo;correo;tiempo
Daewron;Daewron@vtr.net;3:28:15,732
Daewron;Daewron@vtr.net;1:12:38,985
Daewron;Daewron@vtr.net;3:34:34,770
Daewron;Daewron@vtr.net;1:08:54,002
Daewron;Daewron@vtr.net;2:02:27,508
Desiccated_Federico;Desiccated_Federico@hotmail.com;3:03:15,944
Desiccated_Federico;Desiccated_Federico@hotmail.com;1:52:02,092
Desiccated_Federico;Desiccated_Federico@hotmail.com;1:03:22,207
Desiccated_Federico;Desiccated_Federico@hotmail.com;3:00:45,833
Desiccated_Federico;Desiccated_Federico@hotmail.com;2:32:44,278
Vader;Vader@vtr.net;3:24:08,912
Vader;Vader@vtr.net;2:47:21,268
Vader;Vader@vtr.net;3:59:32,589
Vader;Vader@vtr.net;2:11:04,299
Vader;Vader@vtr.net;1:12:44,358
