apodo;correo;tiempo
Spud;Spud@yahoo.com;1:29:57,162
Spud;Spud@yahoo.com;1:26:12,819
Spud;Spud@yahoo.com;3:22:54,783
Spud;Spud@yahoo.com;1:14:31,694
Spud;Spud@yahoo.com;1:08:05,804
Pepinillo;Pepinillo@vtr.net;2:06:49,402
Pepinillo;Pepinillo@vtr.net;2:16:31,204
Pepinillo;Pepinillo@vtr.net;3:06:05,993
Pepinillo;Pepinillo@vtr.net;2:41:34,865
Pepinillo;Pepinillo@vtr.net;2:21:35,811
Redbull;Redbull@hotmail.com;3:27:27,235
Redbull;Redbull@hotmail.com;2:37:30,506
Redbull;Redbull@hotmail.com;2:33:29,971
Redbull;Redbull@hotmail.com;1:35:53,886
Redbull;Redbull@hotmail.com;1:00:27,252
Snoopy;Snoopy@gmail.com;1:09:27,862
Snoopy;Snoopy@gmail.com;2:17:21,410
Snoopy;Snoopy@gmail.com;1:45:39,961
Snoopy;Snoopy@gmail.com;3:39:37,064
Snoopy;Snoopy@gmail.com;3:17:48,710
Krist;Krist@vtr.net;3:17:00,255
Krist;Krist@vtr.net;2:43:04,043
Krist;Krist@vtr.net;2:01:18,478
Krist;Krist@vtr.net;3:21:15,316
Krist;Krist@vtr.net;2:57:38,182
