apodo;correo;tiempo
Muchacho;Muchacho@hotmail.com;3:48:02,967
Muchacho;Muchacho@hotmail.com;2:08:18,097
Muchacho;Muchacho@hotmail.com;1:31:59,491
Muchacho;Muchacho@hotmail.com;3:44:41,735
Muchacho;Muchacho@hotmail.com;1:28:20,474
Monino;Monino@hotmail.com;2:40:36,394
Monino;Monino@hotmail.com;3:23:12,174
Monino;Monino@hotmail.com;3:50:41,790
Monino;Monino@hotmail.com;2:37:44,638
Monino;Monino@hotmail.com;1:25:27,044
Hot_Sauce;Hot_Sauce@email.com;1:04:09,701
Hot_Sauce;Hot_Sauce@email.com;1:05:46,252
Hot_Sauce;Hot_Sauce@email.com;2:32:40,222
Hot_Sauce;Hot_Sauce@email.com;2:02:36,695
Hot_Sauce;Hot_Sauce@email.com;1:49:38,272
