apodo;correo;tiempo
Ironfist;Ironfist@yahoo.com;2:12:11,662
Ironfist;Ironfist@yahoo.com;2:48:23,710
Ironfist;Ironfist@yahoo.com;3:52:48,872
Ironfist;Ironfist@yahoo.com;1:12:37,750
Ironfist;Ironfist@yahoo.com;2:33:05,468
Saruman;Saruman@gmail.com;2:25:08,169
Saruman;Saruman@gmail.com;2:50:01,982
Saruman;Saruman@gmail.com;1:30:45,453
Saruman;Saruman@gmail.com;2:54:41,122
Saruman;Saruman@gmail.com;3:12:59,663
Luthien;Luthien@email.com;2:02:45,257
Luthien;Luthien@email.com;1:56:07,471
Luthien;Luthien@email.com;2:50:06,029
Luthien;Luthien@email.com;1:14:31,064
Luthien;Luthien@email.com;1:28:37,486
