apodo;correo;tiempo
LadyHarken;LadyHarken@email.com;3:29:00,620
LadyHarken;LadyHarken@email.com;1:44:45,059
LadyHarken;LadyHarken@email.com;3:07:32,960
LadyHarken;LadyHarken@email.com;1:37:43,002
LadyHarken;LadyHarken@email.com;1:33:38,623
Hagarmenom;Hagarmenom@yahoo.com;3:59:42,727
Hagarmenom;Hagarmenom@yahoo.com;3:25:51,304
Hagarmenom;Hagarmenom@yahoo.com;1:20:53,578
Hagarmenom;Hagarmenom@yahoo.com;3:41:27,037
Hagarmenom;Hagarmenom@yahoo.com;3:07:29,723
French_Fry;French_Fry@vtr.net;2:15:20,390
French_Fry;French_Fry@vtr.net;2:39:49,189
French_Fry;French_Fry@vtr.net;3:50:06,993
French_Fry;French_Fry@vtr.net;2:12:34,760
French_Fry;French_Fry@vtr.net;2:40:46,575
Dimpling;Dimpling@vtr.net;3:03:39,131
Dimpling;Dimpling@vtr.net;1:40:29,397
Dimpling;Dimpling@vtr.net;1:54:04,228
Dimpling;Dimpling@vtr.net;2:51:23,314
Dimpling;Dimpling@vtr.net;2:53:42,666
Euturiel;Euturiel@gmail.com;3:48:17,445
Euturiel;Euturiel@gmail.com;1:29:29,769
Euturiel;Euturiel@gmail.com;3:30:20,773
Euturiel;Euturiel@gmail.com;2:01:23,552
Euturiel;Euturiel@gmail.com;3:05:12,784
Thorn;Thorn@yahoo.com;2:39:22,347
Thorn;Thorn@yahoo.com;3:23:14,550
Thorn;Thorn@yahoo.com;1:01:49,518
Thorn;Thorn@yahoo.com;3:12:11,790
Thorn;Thorn@yahoo.com;1:36:25,134
