apodo;correo;tiempo
Bubble_Butt;Bubble_Butt@email.com;2:45:02,273
Bubble_Butt;Bubble_Butt@email.com;1:45:31,196
Bubble_Butt;Bubble_Butt@email.com;3:44:22,531
Bubble_Butt;Bubble_Butt@email.com;2:02:03,337
Bubble_Butt;Bubble_Butt@email.com;2:24:23,808
Tiger;Tiger@yahoo.com;3:33:48,449
Tiger;Tiger@yahoo.com;1:28:54,244
Tiger;Tiger@yahoo.com;2:03:27,640
Tiger;Tiger@yahoo.com;1:40:18,458
Tiger;Tiger@yahoo.com;1:25:27,527
Frau_Frau;Frau_Frau@email.com;3:05:16,529
Frau_Frau;Frau_Frau@email.com;2:55:43,202
Frau_Frau;Frau_Frau@email.com;2:38:14,843
Frau_Frau;Frau_Frau@email.com;3:16:44,828
Frau_Frau;Frau_Frau@email.com;3:03:31,674
Aldren;Aldren@gmail.com;2:17:37,877
Aldren;Aldren@gmail.com;1:23:21,619
Aldren;Aldren@gmail.com;2:25:59,809
Aldren;Aldren@gmail.com;2:35:04,577
Aldren;Aldren@gmail.com;3:54:26,044
