apodo;correo;tiempo
Rising;Rising@vtr.net;3:51:59,466
Rising;Rising@vtr.net;2:56:03,809
Rising;Rising@vtr.net;3:52:28,287
Rising;Rising@vtr.net;1:21:31,627
Rising;Rising@vtr.net;1:31:25,019
Federico_the_Helpless;Federico_the_Helpless@vtr.net;1:46:10,874
Federico_the_Helpless;Federico_the_Helpless@vtr.net;1:12:37,750
Federico_the_Helpless;Federico_the_Helpless@vtr.net;3:31:32,664
Federico_the_Helpless;Federico_the_Helpless@vtr.net;1:03:21,361
Federico_the_Helpless;Federico_the_Helpless@vtr.net;1:55:34,463
Pearl;Pearl@yahoo.com;3:18:47,476
Pearl;Pearl@yahoo.com;3:02:06,774
Pearl;Pearl@yahoo.com;2:03:54,889
Pearl;Pearl@yahoo.com;3:27:36,669
Pearl;Pearl@yahoo.com;2:13:36,234
