apodo;correo;tiempo
Queen;Queen@hotmail.com;1:17:01,969
Queen;Queen@hotmail.com;1:52:40,993
Queen;Queen@hotmail.com;3:25:14,143
Queen;Queen@hotmail.com;1:10:14,476
Queen;Queen@hotmail.com;1:54:17,911
Gumby;Gumby@yahoo.com;2:16:57,393
Gumby;Gumby@yahoo.com;2:55:34,664
Gumby;Gumby@yahoo.com;2:44:33,764
Gumby;Gumby@yahoo.com;2:24:03,754
Gumby;Gumby@yahoo.com;3:51:22,952
Fox;Fox@email.com;3:07:11,337
Fox;Fox@email.com;2:21:12,063
Fox;Fox@email.com;3:50:39,574
Fox;Fox@email.com;3:40:41,230
Fox;Fox@email.com;2:36:07,524
Splinter;Splinter@yahoo.com;1:38:20,923
Splinter;Splinter@yahoo.com;3:13:21,091
Splinter;Splinter@yahoo.com;3:27:12,995
Splinter;Splinter@yahoo.com;1:46:06,840
Splinter;Splinter@yahoo.com;1:08:24,434
