apodo;correo;tiempo
Federico_the_Dead;Federico_the_Dead@email.com;3:26:21,077
Federico_the_Dead;Federico_the_Dead@email.com;2:29:33,381
Federico_the_Dead;Federico_the_Dead@email.com;3:29:04,297
Federico_the_Dead;Federico_the_Dead@email.com;3:46:14,268
Federico_the_Dead;Federico_the_Dead@email.com;2:34:48,146
Colonel;Colonel@email.com;3:40:13,795
Colonel;Colonel@email.com;2:47:54,520
Colonel;Colonel@email.com;2:02:41,581
Colonel;Colonel@email.com;2:46:48,778
Colonel;Colonel@email.com;1:40:13,738
Eff;Eff@vtr.net;3:00:54,926
Eff;Eff@vtr.net;2:44:02,211
Eff;Eff@vtr.net;1:53:33,560
Eff;Eff@vtr.net;1:50:20,288
Eff;Eff@vtr.net;1:27:05,874
Chance;Chance@email.com;1:00:40,356
Chance;Chance@email.com;2:21:03,871
Chance;Chance@email.com;2:35:18,272
Chance;Chance@email.com;1:45:37,045
Chance;Chance@email.com;1:16:05,065
