apodo;correo;tiempo
Pollo;Pollo@vtr.net;3:00:29,551
Pollo;Pollo@vtr.net;2:33:44,331
Pollo;Pollo@vtr.net;2:51:11,556
Pollo;Pollo@vtr.net;2:30:55,882
Pollo;Pollo@vtr.net;1:51:25,659
Pecan;Pecan@yahoo.com;1:08:26,445
Pecan;Pecan@yahoo.com;2:17:16,405
Pecan;Pecan@yahoo.com;2:14:45,636
Pecan;Pecan@yahoo.com;2:52:32,962
Pecan;Pecan@yahoo.com;2:15:44,179
Rubber;Rubber@hotmail.com;3:42:12,260
Rubber;Rubber@hotmail.com;3:42:18,523
Rubber;Rubber@hotmail.com;1:53:29,280
Rubber;Rubber@hotmail.com;3:04:38,356
Rubber;Rubber@hotmail.com;2:48:13,385
