apodo;correo;tiempo
Frightful_Federico;Frightful_Federico@hotmail.com;1:17:16,736
Frightful_Federico;Frightful_Federico@hotmail.com;2:16:36,385
Frightful_Federico;Frightful_Federico@hotmail.com;2:39:39,804
Frightful_Federico;Frightful_Federico@hotmail.com;1:09:38,684
Frightful_Federico;Frightful_Federico@hotmail.com;3:37:21,656
Huggie;Huggie@email.com;3:06:17,689
Huggie;Huggie@email.com;1:04:04,364
Huggie;Huggie@email.com;2:16:46,056
Huggie;Huggie@email.com;1:22:25,111
Huggie;Huggie@email.com;3:51:11,081
Cruella;Cruella@vtr.net;3:50:04,351
Cruella;Cruella@vtr.net;1:00:05,647
Cruella;Cruella@vtr.net;3:21:25,381
Cruella;Cruella@vtr.net;3:42:09,965
Cruella;Cruella@vtr.net;2:20:46,801
