apodo;correo;tiempo
Coolish_Lulu;Coolish_Lulu@yahoo.com;3:43:59,428
Coolish_Lulu;Coolish_Lulu@yahoo.com;2:43:04,043
Coolish_Lulu;Coolish_Lulu@yahoo.com;2:40:41,662
Coolish_Lulu;Coolish_Lulu@yahoo.com;1:22:16,099
Coolish_Lulu;Coolish_Lulu@yahoo.com;2:58:18,567
Pancho;Pancho@vtr.net;2:45:30,660
Pancho;Pancho@vtr.net;2:12:55,988
Pancho;Pancho@vtr.net;1:50:41,647
Pancho;Pancho@vtr.net;1:38:19,988
Pancho;Pancho@vtr.net;2:08:51,494
Lulu_Bear;Lulu_Bear@gmail.com;2:41:10,024
Lulu_Bear;Lulu_Bear@gmail.com;3:06:01,315
Lulu_Bear;Lulu_Bear@gmail.com;2:42:51,248
Lulu_Bear;Lulu_Bear@gmail.com;3:24:50,156
Lulu_Bear;Lulu_Bear@gmail.com;2:57:04,900
Jetroo;Jetroo@gmail.com;2:52:52,082
Jetroo;Jetroo@gmail.com;3:31:33,128
Jetroo;Jetroo@gmail.com;3:25:29,816
Jetroo;Jetroo@gmail.com;2:53:39,981
Jetroo;Jetroo@gmail.com;1:44:23,933
Gizmo;Gizmo@vtr.net;1:38:48,155
Gizmo;Gizmo@vtr.net;2:27:31,924
Gizmo;Gizmo@vtr.net;1:27:56,551
Gizmo;Gizmo@vtr.net;2:59:46,523
Gizmo;Gizmo@vtr.net;3:14:02,204
