apodo;correo;tiempo
Berry_the_Dictionary;Berry_the_Dictionary@yahoo.com;2:08:58,764
Berry_the_Dictionary;Berry_the_Dictionary@yahoo.com;1:37:09,105
Berry_the_Dictionary;Berry_the_Dictionary@yahoo.com;3:43:07,303
Berry_the_Dictionary;Berry_the_Dictionary@yahoo.com;3:44:00,060
Berry_the_Dictionary;Berry_the_Dictionary@yahoo.com;3:19:30,001
Mi_Rey;Mi_Rey@yahoo.com;2:57:20,845
Mi_Rey;Mi_Rey@yahoo.com;3:57:41,745
Mi_Rey;Mi_Rey@yahoo.com;2:05:36,211
Mi_Rey;Mi_Rey@yahoo.com;3:10:55,247
Mi_Rey;Mi_Rey@yahoo.com;3:28:09,488
