apodo;correo;tiempo
Frankfurter;Frankfurter@yahoo.com;3:28:01,791
Frankfurter;Frankfurter@yahoo.com;3:40:15,416
Frankfurter;Frankfurter@yahoo.com;2:11:45,464
Frankfurter;Frankfurter@yahoo.com;3:21:28,114
Frankfurter;Frankfurter@yahoo.com;3:14:50,797
Raindrop;Raindrop@gmail.com;2:45:54,121
Raindrop;Raindrop@gmail.com;2:09:00,687
Raindrop;Raindrop@gmail.com;3:44:00,060
Raindrop;Raindrop@gmail.com;2:42:12,708
Raindrop;Raindrop@gmail.com;2:35:59,746
CyberKiller;CyberKiller@email.com;1:30:30,881
CyberKiller;CyberKiller@email.com;3:58:12,189
CyberKiller;CyberKiller@email.com;1:35:15,348
CyberKiller;CyberKiller@email.com;3:18:04,749
CyberKiller;CyberKiller@email.com;3:48:43,933
