apodo;correo;tiempo
Anvil;Anvil@email.com;1:22:09,687
Anvil;Anvil@email.com;3:56:09,818
Anvil;Anvil@email.com;1:56:03,960
Anvil;Anvil@email.com;3:41:03,625
Anvil;Anvil@email.com;3:42:12,762
Admiral;Admiral@hotmail.com;3:51:17,184
Admiral;Admiral@hotmail.com;3:21:05,183
Admiral;Admiral@hotmail.com;1:50:25,863
Admiral;Admiral@hotmail.com;1:54:10,225
Admiral;Admiral@hotmail.com;2:09:27,393
Dropout;Dropout@hotmail.com;2:07:05,914
Dropout;Dropout@hotmail.com;3:45:38,457
Dropout;Dropout@hotmail.com;1:56:41,587
Dropout;Dropout@hotmail.com;3:12:12,858
Dropout;Dropout@hotmail.com;3:35:46,419
Federico_the_Evil;Federico_the_Evil@vtr.net;3:12:05,415
Federico_the_Evil;Federico_the_Evil@vtr.net;2:59:44,708
Federico_the_Evil;Federico_the_Evil@vtr.net;1:50:05,817
Federico_the_Evil;Federico_the_Evil@vtr.net;3:34:58,428
Federico_the_Evil;Federico_the_Evil@vtr.net;3:31:01,583
My_precious;My_precious@hotmail.com;1:05:05,883
My_precious;My_precious@hotmail.com;1:19:47,133
My_precious;My_precious@hotmail.com;2:59:45,300
My_precious;My_precious@hotmail.com;2:13:02,054
My_precious;My_precious@hotmail.com;3:57:47,819
Known_to_Partner_As;Known_to_Partner_As@hotmail.com;2:40:16,439
Known_to_Partner_As;Known_to_Partner_As@hotmail.com;3:11:56,731
Known_to_Partner_As;Known_to_Partner_As@hotmail.com;2:08:58,764
Known_to_Partner_As;Known_to_Partner_As@hotmail.com;1:54:17,911
Known_to_Partner_As;Known_to_Partner_As@hotmail.com;3:40:15,970
