apodo;correo;tiempo
Hot_Pepper;Hot_Pepper@email.com;1:09:23,198
Hot_Pepper;Hot_Pepper@email.com;1:57:32,808
Hot_Pepper;Hot_Pepper@email.com;3:46:45,894
Hot_Pepper;Hot_Pepper@email.com;3:31:22,172
Hot_Pepper;Hot_Pepper@email.com;3:13:28,231
Primer_oficial;Primer_oficial@vtr.net;1:50:07,449
Primer_oficial;Primer_oficial@vtr.net;1:50:12,369
Primer_oficial;Primer_oficial@vtr.net;3:00:09,098
Primer_oficial;Primer_oficial@vtr.net;3:23:46,855
Primer_oficial;Primer_oficial@vtr.net;2:06:56,262
Natasha;Natasha@gmail.com;3:51:17,184
Natasha;Natasha@gmail.com;1:01:16,486
Natasha;Natasha@gmail.com;1:29:39,726
Natasha;Natasha@gmail.com;1:27:32,807
Natasha;Natasha@gmail.com;2:57:57,630
Midge;Midge@yahoo.com;2:18:02,621
Midge;Midge@yahoo.com;3:48:05,926
Midge;Midge@yahoo.com;3:17:09,386
Midge;Midge@yahoo.com;2:40:39,427
Midge;Midge@yahoo.com;1:47:38,887
