apodo;correo;tiempo
BillyTheKid;BillyTheKid@gmail.com;1:05:58,203
BillyTheKid;BillyTheKid@gmail.com;1:19:40,849
BillyTheKid;BillyTheKid@gmail.com;2:33:06,970
BillyTheKid;BillyTheKid@gmail.com;3:16:47,874
BillyTheKid;BillyTheKid@gmail.com;3:39:56,106
Bud;Bud@gmail.com;2:33:28,927
Bud;Bud@gmail.com;1:15:13,066
Bud;Bud@gmail.com;3:37:54,184
Bud;Bud@gmail.com;1:15:56,044
Bud;Bud@gmail.com;2:37:28,925
Slick;Slick@vtr.net;3:03:53,088
Slick;Slick@vtr.net;1:21:02,555
Slick;Slick@vtr.net;1:40:58,760
Slick;Slick@vtr.net;2:37:59,532
Slick;Slick@vtr.net;3:56:58,872
Iris;Iris@gmail.com;2:23:41,586
Iris;Iris@gmail.com;3:33:03,269
Iris;Iris@gmail.com;3:28:32,849
Iris;Iris@gmail.com;3:58:55,278
Iris;Iris@gmail.com;1:39:22,900
