apodo;correo;tiempo
Smudge;Smudge@gmail.com;3:18:17,041
Smudge;Smudge@gmail.com;3:20:50,565
Smudge;Smudge@gmail.com;3:30:29,581
Smudge;Smudge@gmail.com;3:12:24,240
Smudge;Smudge@gmail.com;1:38:00,029
Cheeky;Cheeky@vtr.net;3:57:05,969
Cheeky;Cheeky@vtr.net;1:26:29,567
Cheeky;Cheeky@vtr.net;1:25:37,555
Cheeky;Cheeky@vtr.net;2:33:49,564
Cheeky;Cheeky@vtr.net;3:11:51,130
Zaifer;Zaifer@yahoo.com;1:05:57,013
Zaifer;Zaifer@yahoo.com;2:28:16,941
Zaifer;Zaifer@yahoo.com;1:00:23,680
Zaifer;Zaifer@yahoo.com;3:15:22,787
Zaifer;Zaifer@yahoo.com;2:32:23,702
Weirdo;Weirdo@vtr.net;1:57:14,366
Weirdo;Weirdo@vtr.net;1:28:11,761
Weirdo;Weirdo@vtr.net;1:54:04,305
Weirdo;Weirdo@vtr.net;3:23:00,257
Weirdo;Weirdo@vtr.net;3:35:56,143
