apodo;correo;tiempo
Mingy_Lulu;Mingy_Lulu@hotmail.com;2:09:02,827
Mingy_Lulu;Mingy_Lulu@hotmail.com;2:11:57,661
Mingy_Lulu;Mingy_Lulu@hotmail.com;1:49:41,183
Mingy_Lulu;Mingy_Lulu@hotmail.com;2:42:41,632
Mingy_Lulu;Mingy_Lulu@hotmail.com;2:20:51,269
Pupzee;Pupzee@hotmail.com;1:27:04,772
Pupzee;Pupzee@hotmail.com;1:30:19,382
Pupzee;Pupzee@hotmail.com;2:09:30,018
Pupzee;Pupzee@hotmail.com;3:49:52,159
Pupzee;Pupzee@hotmail.com;1:37:07,352
Spicy;Spicy@gmail.com;2:41:46,257
Spicy;Spicy@gmail.com;2:50:34,170
Spicy;Spicy@gmail.com;1:24:02,622
Spicy;Spicy@gmail.com;2:28:19,369
Spicy;Spicy@gmail.com;2:18:57,851
Homie;Homie@yahoo.com;1:09:58,365
Homie;Homie@yahoo.com;3:32:21,877
Homie;Homie@yahoo.com;1:35:50,990
Homie;Homie@yahoo.com;3:34:29,905
Homie;Homie@yahoo.com;1:08:14,680
