apodo;correo;tiempo
Federico_the_Rico;Federico_the_Rico@yahoo.com;2:20:40,979
Federico_the_Rico;Federico_the_Rico@yahoo.com;2:11:28,663
Federico_the_Rico;Federico_the_Rico@yahoo.com;2:56:30,859
Federico_the_Rico;Federico_the_Rico@yahoo.com;3:57:06,979
Federico_the_Rico;Federico_the_Rico@yahoo.com;2:08:02,908
Mini_Skirt;Mini_Skirt@hotmail.com;3:11:10,281
Mini_Skirt;Mini_Skirt@hotmail.com;2:39:55,108
Mini_Skirt;Mini_Skirt@hotmail.com;2:38:22,912
Mini_Skirt;Mini_Skirt@hotmail.com;2:30:37,077
Mini_Skirt;Mini_Skirt@hotmail.com;3:17:57,958
