apodo;correo;tiempo
TRasher;TRasher@yahoo.com;3:58:58,341
TRasher;TRasher@yahoo.com;1:35:01,635
TRasher;TRasher@yahoo.com;3:50:26,273
TRasher;TRasher@yahoo.com;2:54:07,151
TRasher;TRasher@yahoo.com;2:31:05,274
Pickle;Pickle@yahoo.com;1:39:10,476
Pickle;Pickle@yahoo.com;1:10:48,885
Pickle;Pickle@yahoo.com;3:47:26,473
Pickle;Pickle@yahoo.com;1:51:56,285
Pickle;Pickle@yahoo.com;2:23:32,481
Black_Diamond;Black_Diamond@email.com;1:13:58,500
Black_Diamond;Black_Diamond@email.com;3:36:28,381
Black_Diamond;Black_Diamond@email.com;3:08:20,973
Black_Diamond;Black_Diamond@email.com;2:26:33,313
Black_Diamond;Black_Diamond@email.com;3:11:48,517
