apodo;correo;tiempo
Rumplestiltskin;Rumplestiltskin@yahoo.com;2:58:30,091
Rumplestiltskin;Rumplestiltskin@yahoo.com;1:16:33,846
Rumplestiltskin;Rumplestiltskin@yahoo.com;2:18:06,851
Rumplestiltskin;Rumplestiltskin@yahoo.com;1:54:12,823
Rumplestiltskin;Rumplestiltskin@yahoo.com;2:01:04,487
Cinnamon;Cinnamon@hotmail.com;2:30:41,955
Cinnamon;Cinnamon@hotmail.com;2:48:54,368
Cinnamon;Cinnamon@hotmail.com;1:34:07,758
Cinnamon;Cinnamon@hotmail.com;1:39:53,069
Cinnamon;Cinnamon@hotmail.com;2:09:13,582
Revenger;Revenger@email.com;3:02:16,005
Revenger;Revenger@email.com;1:40:36,599
Revenger;Revenger@email.com;2:29:50,908
Revenger;Revenger@email.com;3:57:31,155
Revenger;Revenger@email.com;2:59:33,786
Lewbob;Lewbob@vtr.net;2:30:12,159
Lewbob;Lewbob@vtr.net;2:12:13,028
Lewbob;Lewbob@vtr.net;2:34:38,377
Lewbob;Lewbob@vtr.net;1:31:16,980
Lewbob;Lewbob@vtr.net;3:32:56,235
General;General@gmail.com;3:08:53,097
General;General@gmail.com;2:13:02,435
General;General@gmail.com;2:31:07,580
General;General@gmail.com;1:37:43,109
General;General@gmail.com;2:09:15,665
