apodo;correo;tiempo
Tomcat;Tomcat@vtr.net;3:09:56,299
Tomcat;Tomcat@vtr.net;3:28:13,442
Tomcat;Tomcat@vtr.net;3:50:49,109
Tomcat;Tomcat@vtr.net;1:25:01,915
Tomcat;Tomcat@vtr.net;3:47:29,831
Beast;Beast@yahoo.com;3:22:24,431
Beast;Beast@yahoo.com;2:12:32,619
Beast;Beast@yahoo.com;1:11:47,152
Beast;Beast@yahoo.com;1:26:13,986
Beast;Beast@yahoo.com;2:50:25,905
Moose;Moose@yahoo.com;1:47:02,659
Moose;Moose@yahoo.com;3:30:14,376
Moose;Moose@yahoo.com;3:42:57,801
Moose;Moose@yahoo.com;2:27:10,334
Moose;Moose@yahoo.com;1:55:53,189
Delincuente;Delincuente@gmail.com;1:54:46,413
Delincuente;Delincuente@gmail.com;3:39:02,471
Delincuente;Delincuente@gmail.com;2:20:01,368
Delincuente;Delincuente@gmail.com;1:16:05,065
Delincuente;Delincuente@gmail.com;3:00:45,017
