apodo;correo;tiempo
Eowyn;Eowyn@gmail.com;3:34:25,432
Eowyn;Eowyn@gmail.com;2:22:25,977
Eowyn;Eowyn@gmail.com;1:35:49,218
Eowyn;Eowyn@gmail.com;2:06:49,402
Eowyn;Eowyn@gmail.com;2:14:24,611
Cuchi;Cuchi@yahoo.com;2:29:54,818
Cuchi;Cuchi@yahoo.com;3:27:06,578
Cuchi;Cuchi@yahoo.com;2:38:32,835
Cuchi;Cuchi@yahoo.com;3:36:40,882
Cuchi;Cuchi@yahoo.com;1:20:44,537
Rebelde;Rebelde@email.com;3:47:03,382
Rebelde;Rebelde@email.com;3:37:54,962
Rebelde;Rebelde@email.com;3:39:49,022
Rebelde;Rebelde@email.com;1:32:50,643
Rebelde;Rebelde@email.com;3:40:06,982
Fierecilla;Fierecilla@yahoo.com;3:30:42,002
Fierecilla;Fierecilla@yahoo.com;1:43:03,865
Fierecilla;Fierecilla@yahoo.com;2:57:24,213
Fierecilla;Fierecilla@yahoo.com;2:53:24,604
Fierecilla;Fierecilla@yahoo.com;1:51:30,108
