apodo;correo;tiempo
Toxic;Toxic@yahoo.com;2:17:05,710
Toxic;Toxic@yahoo.com;2:19:32,444
Toxic;Toxic@yahoo.com;1:53:00,439
Toxic;Toxic@yahoo.com;3:57:18,390
Toxic;Toxic@yahoo.com;1:44:35,605
Skunk;Skunk@vtr.net;1:02:41,102
Skunk;Skunk@vtr.net;1:25:29,614
Skunk;Skunk@vtr.net;2:31:53,566
Skunk;Skunk@vtr.net;1:05:04,340
Skunk;Skunk@vtr.net;1:40:55,947
Federico_the_Foul;Federico_the_Foul@hotmail.com;1:32:25,621
Federico_the_Foul;Federico_the_Foul@hotmail.com;1:03:37,886
Federico_the_Foul;Federico_the_Foul@hotmail.com;1:23:44,132
Federico_the_Foul;Federico_the_Foul@hotmail.com;2:16:38,984
Federico_the_Foul;Federico_the_Foul@hotmail.com;2:15:47,125
