apodo;correo;tiempo
Bub;Bub@gmail.com;2:00:05,914
Bub;Bub@gmail.com;2:24:53,470
Bub;Bub@gmail.com;1:01:22,580
Bub;Bub@gmail.com;2:22:15,946
Bub;Bub@gmail.com;1:32:19,671
Mad;Mad@vtr.net;2:59:51,492
Mad;Mad@vtr.net;3:35:06,935
Mad;Mad@vtr.net;3:46:40,598
Mad;Mad@vtr.net;3:53:10,422
Mad;Mad@vtr.net;3:03:37,012
Federico_the_Pico;Federico_the_Pico@hotmail.com;3:29:13,440
Federico_the_Pico;Federico_the_Pico@hotmail.com;2:16:50,280
Federico_the_Pico;Federico_the_Pico@hotmail.com;2:45:17,061
Federico_the_Pico;Federico_the_Pico@hotmail.com;3:40:58,442
Federico_the_Pico;Federico_the_Pico@hotmail.com;1:09:33,487
GhostSkull;GhostSkull@hotmail.com;1:08:21,514
GhostSkull;GhostSkull@hotmail.com;2:20:24,353
GhostSkull;GhostSkull@hotmail.com;1:54:51,622
GhostSkull;GhostSkull@hotmail.com;1:54:04,776
GhostSkull;GhostSkull@hotmail.com;2:37:06,757
