apodo;correo;tiempo
Gumdrop;Gumdrop@gmail.com;2:50:28,172
Gumdrop;Gumdrop@gmail.com;1:33:17,494
Gumdrop;Gumdrop@gmail.com;2:11:29,519
Gumdrop;Gumdrop@gmail.com;2:03:21,882
Gumdrop;Gumdrop@gmail.com;1:15:49,594
Faint_Lulu;Faint_Lulu@gmail.com;3:56:21,876
Faint_Lulu;Faint_Lulu@gmail.com;3:43:07,459
Faint_Lulu;Faint_Lulu@gmail.com;1:32:35,802
Faint_Lulu;Faint_Lulu@gmail.com;1:40:29,315
Faint_Lulu;Faint_Lulu@gmail.com;2:00:22,937
Queen_Bee;Queen_Bee@hotmail.com;2:20:44,935
Queen_Bee;Queen_Bee@hotmail.com;1:11:47,522
Queen_Bee;Queen_Bee@hotmail.com;1:42:39,640
Queen_Bee;Queen_Bee@hotmail.com;3:13:03,688
Queen_Bee;Queen_Bee@hotmail.com;1:40:53,261
Punk;Punk@yahoo.com;2:48:46,466
Punk;Punk@yahoo.com;2:23:17,617
Punk;Punk@yahoo.com;2:04:21,441
Punk;Punk@yahoo.com;1:26:30,244
Punk;Punk@yahoo.com;3:00:12,258
