apodo;correo;tiempo
Ravel;Ravel@email.com;3:34:53,300
Ravel;Ravel@email.com;2:14:39,289
Ravel;Ravel@email.com;3:26:23,669
Ravel;Ravel@email.com;2:08:17,077
Ravel;Ravel@email.com;1:32:53,205
Frits;Frits@gmail.com;3:07:25,860
Frits;Frits@gmail.com;1:05:19,587
Frits;Frits@gmail.com;1:09:49,889
Frits;Frits@gmail.com;3:24:22,553
Frits;Frits@gmail.com;3:47:49,352
Papuda;Papuda@yahoo.com;2:04:46,121
Papuda;Papuda@yahoo.com;2:10:46,569
Papuda;Papuda@yahoo.com;2:10:43,361
Papuda;Papuda@yahoo.com;2:05:15,213
Papuda;Papuda@yahoo.com;2:33:18,953
