apodo;correo;tiempo
Notoryu;Notoryu@email.com;2:24:11,834
Notoryu;Notoryu@email.com;2:41:30,723
Notoryu;Notoryu@email.com;3:30:35,754
Notoryu;Notoryu@email.com;3:49:49,010
Notoryu;Notoryu@email.com;2:33:43,726
Chiquita;Chiquita@yahoo.com;2:31:55,212
Chiquita;Chiquita@yahoo.com;2:37:47,497
Chiquita;Chiquita@yahoo.com;1:17:25,964
Chiquita;Chiquita@yahoo.com;1:15:15,531
Chiquita;Chiquita@yahoo.com;1:20:32,312
MattyIce;MattyIce@hotmail.com;3:05:55,607
MattyIce;MattyIce@hotmail.com;1:25:34,111
MattyIce;MattyIce@hotmail.com;3:22:36,261
MattyIce;MattyIce@hotmail.com;3:55:51,509
MattyIce;MattyIce@hotmail.com;1:17:01,302
Foxy_Mama;Foxy_Mama@hotmail.com;1:52:10,693
Foxy_Mama;Foxy_Mama@hotmail.com;3:20:21,404
Foxy_Mama;Foxy_Mama@hotmail.com;2:39:02,691
Foxy_Mama;Foxy_Mama@hotmail.com;3:01:16,953
Foxy_Mama;Foxy_Mama@hotmail.com;3:21:42,038
