apodo;correo;tiempo
Boo;Boo@hotmail.com;2:09:46,462
Boo;Boo@hotmail.com;1:58:30,200
Boo;Boo@hotmail.com;1:33:52,913
Boo;Boo@hotmail.com;3:27:35,836
Boo;Boo@hotmail.com;3:25:39,219
Apple_Jack;Apple_Jack@vtr.net;3:28:42,333
Apple_Jack;Apple_Jack@vtr.net;1:25:27,527
Apple_Jack;Apple_Jack@vtr.net;3:14:37,589
Apple_Jack;Apple_Jack@vtr.net;2:15:17,763
Apple_Jack;Apple_Jack@vtr.net;1:19:06,426
Twiggy;Twiggy@email.com;3:01:16,953
Twiggy;Twiggy@email.com;3:30:52,589
Twiggy;Twiggy@email.com;2:32:12,019
Twiggy;Twiggy@email.com;1:44:19,639
Twiggy;Twiggy@email.com;1:21:02,555
