apodo;correo;tiempo
Cara_de_bebe;Cara_de_bebe@email.com;2:34:22,988
Cara_de_bebe;Cara_de_bebe@email.com;3:56:17,505
Cara_de_bebe;Cara_de_bebe@email.com;2:36:34,693
Cara_de_bebe;Cara_de_bebe@email.com;3:58:06,324
Cara_de_bebe;Cara_de_bebe@email.com;2:11:54,637
Muffin;Muffin@yahoo.com;2:35:49,530
Muffin;Muffin@yahoo.com;2:05:04,439
Muffin;Muffin@yahoo.com;3:04:11,034
Muffin;Muffin@yahoo.com;2:43:17,972
Muffin;Muffin@yahoo.com;2:54:09,460
Hot_stuff;Hot_stuff@hotmail.com;2:33:14,316
Hot_stuff;Hot_stuff@hotmail.com;3:16:44,735
Hot_stuff;Hot_stuff@hotmail.com;3:51:51,416
Hot_stuff;Hot_stuff@hotmail.com;3:26:28,674
Hot_stuff;Hot_stuff@hotmail.com;1:47:38,887
