apodo;correo;tiempo
Dulce;Dulce@hotmail.com;2:43:15,357
Dulce;Dulce@hotmail.com;3:11:45,816
Dulce;Dulce@hotmail.com;2:08:05,849
Dulce;Dulce@hotmail.com;3:56:41,765
Dulce;Dulce@hotmail.com;2:31:41,200
Deacon;Deacon@yahoo.com;2:36:54,472
Deacon;Deacon@yahoo.com;3:44:33,647
Deacon;Deacon@yahoo.com;2:11:33,452
Deacon;Deacon@yahoo.com;3:09:56,299
Deacon;Deacon@yahoo.com;3:40:49,332
Oompa_Loompa;Oompa_Loompa@hotmail.com;3:32:21,484
Oompa_Loompa;Oompa_Loompa@hotmail.com;2:26:18,416
Oompa_Loompa;Oompa_Loompa@hotmail.com;2:36:07,175
Oompa_Loompa;Oompa_Loompa@hotmail.com;1:30:28,171
Oompa_Loompa;Oompa_Loompa@hotmail.com;3:52:50,787
Dots;Dots@email.com;3:24:29,730
Dots;Dots@email.com;1:36:02,596
Dots;Dots@email.com;3:54:00,981
Dots;Dots@email.com;2:24:27,445
Dots;Dots@email.com;2:15:11,265
