apodo;correo;tiempo
Aspen;Aspen@hotmail.com;2:46:34,710
Aspen;Aspen@hotmail.com;1:47:04,716
Aspen;Aspen@hotmail.com;2:33:18,082
Aspen;Aspen@hotmail.com;2:46:37,664
Aspen;Aspen@hotmail.com;3:10:42,487
Threepeo;Threepeo@gmail.com;3:13:51,265
Threepeo;Threepeo@gmail.com;1:39:40,876
Threepeo;Threepeo@gmail.com;2:53:06,683
Threepeo;Threepeo@gmail.com;3:05:59,936
Threepeo;Threepeo@gmail.com;3:07:43,933
Falcon;Falcon@email.com;1:35:38,941
Falcon;Falcon@email.com;3:44:55,059
Falcon;Falcon@email.com;2:46:21,231
Falcon;Falcon@email.com;1:42:44,159
Falcon;Falcon@email.com;1:36:25,134
Darkfire;Darkfire@hotmail.com;1:26:54,948
Darkfire;Darkfire@hotmail.com;3:27:13,319
Darkfire;Darkfire@hotmail.com;3:36:17,984
Darkfire;Darkfire@hotmail.com;3:48:02,601
Darkfire;Darkfire@hotmail.com;1:16:26,305
