apodo;correo;tiempo
F.L;F.L@vtr.net;2:53:39,167
F.L;F.L@vtr.net;3:29:56,780
F.L;F.L@vtr.net;3:39:43,078
F.L;F.L@vtr.net;3:32:24,926
F.L;F.L@vtr.net;1:16:22,505
Half_Pint;Half_Pint@gmail.com;2:19:04,612
Half_Pint;Half_Pint@gmail.com;2:34:51,206
Half_Pint;Half_Pint@gmail.com;1:20:59,086
Half_Pint;Half_Pint@gmail.com;3:05:58,811
Half_Pint;Half_Pint@gmail.com;1:08:53,478
Desiccated_Lulu;Desiccated_Lulu@yahoo.com;1:24:39,386
Desiccated_Lulu;Desiccated_Lulu@yahoo.com;3:51:51,148
Desiccated_Lulu;Desiccated_Lulu@yahoo.com;2:31:36,727
Desiccated_Lulu;Desiccated_Lulu@yahoo.com;3:10:46,920
Desiccated_Lulu;Desiccated_Lulu@yahoo.com;3:10:35,111
Buffalo;Buffalo@vtr.net;3:43:59,428
Buffalo;Buffalo@vtr.net;1:40:22,086
Buffalo;Buffalo@vtr.net;3:24:42,378
Buffalo;Buffalo@vtr.net;3:39:34,887
Buffalo;Buffalo@vtr.net;3:35:34,775
