apodo;correo;tiempo
Gams;Gams@hotmail.com;2:57:30,455
Gams;Gams@hotmail.com;2:39:27,799
Gams;Gams@hotmail.com;1:23:44,775
Gams;Gams@hotmail.com;3:31:42,258
Gams;Gams@hotmail.com;3:22:28,192
Federico-nova;Federico-nova@vtr.net;3:13:24,409
Federico-nova;Federico-nova@vtr.net;2:29:32,027
Federico-nova;Federico-nova@vtr.net;1:11:27,419
Federico-nova;Federico-nova@vtr.net;2:22:53,335
Federico-nova;Federico-nova@vtr.net;1:27:42,521
Boloda;Boloda@vtr.net;3:44:30,276
Boloda;Boloda@vtr.net;3:24:14,584
Boloda;Boloda@vtr.net;2:23:04,858
Boloda;Boloda@vtr.net;3:59:42,870
Boloda;Boloda@vtr.net;3:33:43,442
Baby;Baby@gmail.com;3:00:29,551
Baby;Baby@gmail.com;1:12:00,511
Baby;Baby@gmail.com;2:48:46,466
Baby;Baby@gmail.com;2:10:13,324
Baby;Baby@gmail.com;3:25:29,816
Barbie;Barbie@yahoo.com;2:53:31,330
Barbie;Barbie@yahoo.com;1:17:56,312
Barbie;Barbie@yahoo.com;2:52:09,553
Barbie;Barbie@yahoo.com;1:24:35,961
Barbie;Barbie@yahoo.com;2:04:17,109
Pimpollo;Pimpollo@yahoo.com;1:57:15,257
Pimpollo;Pimpollo@yahoo.com;3:36:37,364
Pimpollo;Pimpollo@yahoo.com;3:36:05,835
Pimpollo;Pimpollo@yahoo.com;1:54:12,823
Pimpollo;Pimpollo@yahoo.com;1:23:44,020
Swiss_Miss;Swiss_Miss@vtr.net;1:45:47,912
Swiss_Miss;Swiss_Miss@vtr.net;1:01:19,921
Swiss_Miss;Swiss_Miss@vtr.net;2:01:42,442
Swiss_Miss;Swiss_Miss@vtr.net;2:00:22,759
Swiss_Miss;Swiss_Miss@vtr.net;2:50:03,661
Cyber;Cyber@hotmail.com;3:54:49,925
Cyber;Cyber@hotmail.com;1:30:07,567
Cyber;Cyber@hotmail.com;1:51:21,490
Cyber;Cyber@hotmail.com;1:09:15,801
Cyber;Cyber@hotmail.com;2:21:50,469
