apodo;correo;tiempo
Butterfinger;Butterfinger@yahoo.com;3:20:57,754
Butterfinger;Butterfinger@yahoo.com;2:25:49,842
Butterfinger;Butterfinger@yahoo.com;2:26:06,600
Butterfinger;Butterfinger@yahoo.com;1:52:05,320
Butterfinger;Butterfinger@yahoo.com;1:40:41,466
Panchi;Panchi@email.com;3:16:25,086
Panchi;Panchi@email.com;1:11:53,195
Panchi;Panchi@email.com;1:01:08,130
Panchi;Panchi@email.com;3:01:47,868
Panchi;Panchi@email.com;1:53:36,129
Dear;Dear@yahoo.com;3:59:54,780
Dear;Dear@yahoo.com;2:30:05,983
Dear;Dear@yahoo.com;2:32:17,476
Dear;Dear@yahoo.com;2:02:27,508
Dear;Dear@yahoo.com;2:11:53,217
Joker;Joker@email.com;2:47:38,356
Joker;Joker@email.com;2:48:50,753
Joker;Joker@email.com;1:18:45,947
Joker;Joker@email.com;1:53:18,458
Joker;Joker@email.com;3:22:42,951
