apodo;correo;tiempo
Pescotapa;Pescotapa@email.com;1:17:51,751
Pescotapa;Pescotapa@email.com;3:56:03,044
Pescotapa;Pescotapa@email.com;1:16:20,805
Pescotapa;Pescotapa@email.com;2:58:11,000
Pescotapa;Pescotapa@email.com;1:22:45,929
Dumbledore;Dumbledore@email.com;2:50:22,473
Dumbledore;Dumbledore@email.com;3:30:45,292
Dumbledore;Dumbledore@email.com;3:31:30,707
Dumbledore;Dumbledore@email.com;1:17:02,734
Dumbledore;Dumbledore@email.com;1:13:44,697
Galadriel;Galadriel@yahoo.com;1:16:48,132
Galadriel;Galadriel@yahoo.com;3:01:18,547
Galadriel;Galadriel@yahoo.com;1:51:19,838
Galadriel;Galadriel@yahoo.com;2:14:20,227
Galadriel;Galadriel@yahoo.com;3:09:36,185
Cielo;Cielo@hotmail.com;2:58:57,274
Cielo;Cielo@hotmail.com;1:45:18,263
Cielo;Cielo@hotmail.com;1:53:01,842
Cielo;Cielo@hotmail.com;3:01:00,993
Cielo;Cielo@hotmail.com;3:45:37,983
