apodo;correo;tiempo
Cutie_pie;Cutie_pie@gmail.com;1:27:06,176
Cutie_pie;Cutie_pie@gmail.com;2:49:09,222
Cutie_pie;Cutie_pie@gmail.com;1:40:48,159
Cutie_pie;Cutie_pie@gmail.com;2:17:41,707
Cutie_pie;Cutie_pie@gmail.com;2:56:14,826
Lindo;Lindo@email.com;3:22:51,531
Lindo;Lindo@email.com;3:36:13,617
Lindo;Lindo@email.com;2:41:39,022
Lindo;Lindo@email.com;3:54:55,321
Lindo;Lindo@email.com;1:39:21,206
Granito;Granito@email.com;3:11:28,027
Granito;Granito@email.com;2:48:10,975
Granito;Granito@email.com;1:30:02,500
Granito;Granito@email.com;1:09:20,429
Granito;Granito@email.com;1:48:29,982
Rafa;Rafa@hotmail.com;3:02:04,878
Rafa;Rafa@hotmail.com;1:02:17,349
Rafa;Rafa@hotmail.com;1:39:34,859
Rafa;Rafa@hotmail.com;3:08:50,250
Rafa;Rafa@hotmail.com;2:38:13,572
Arbitrary_Berry;Arbitrary_Berry@vtr.net;3:50:31,675
Arbitrary_Berry;Arbitrary_Berry@vtr.net;2:56:21,327
Arbitrary_Berry;Arbitrary_Berry@vtr.net;3:46:34,394
Arbitrary_Berry;Arbitrary_Berry@vtr.net;2:05:49,832
Arbitrary_Berry;Arbitrary_Berry@vtr.net;1:48:32,479
Button;Button@gmail.com;3:52:32,159
Button;Button@gmail.com;2:25:47,046
Button;Button@gmail.com;3:48:35,228
Button;Button@gmail.com;2:22:36,738
Button;Button@gmail.com;2:43:29,110
Bebe;Bebe@hotmail.com;3:44:04,127
Bebe;Bebe@hotmail.com;1:23:55,573
Bebe;Bebe@hotmail.com;1:56:41,378
Bebe;Bebe@hotmail.com;2:19:44,685
Bebe;Bebe@hotmail.com;1:21:24,596
