apodo;correo;tiempo
TimeBandit;TimeBandit@hotmail.com;1:49:41,183
TimeBandit;TimeBandit@hotmail.com;2:25:37,290
TimeBandit;TimeBandit@hotmail.com;3:16:06,912
TimeBandit;TimeBandit@hotmail.com;3:12:15,244
TimeBandit;TimeBandit@hotmail.com;1:11:18,943
Norton;Norton@yahoo.com;3:37:45,320
Norton;Norton@yahoo.com;1:49:51,290
Norton;Norton@yahoo.com;1:59:58,915
Norton;Norton@yahoo.com;1:30:24,236
Norton;Norton@yahoo.com;1:02:09,430
Phoenix;Phoenix@gmail.com;1:56:34,179
Phoenix;Phoenix@gmail.com;2:15:20,769
Phoenix;Phoenix@gmail.com;2:44:08,855
Phoenix;Phoenix@gmail.com;3:34:01,952
Phoenix;Phoenix@gmail.com;3:18:57,933
Candy;Candy@hotmail.com;2:19:32,444
Candy;Candy@hotmail.com;3:07:54,552
Candy;Candy@hotmail.com;2:31:36,329
Candy;Candy@hotmail.com;3:23:33,814
Candy;Candy@hotmail.com;2:26:50,162
