apodo;correo;tiempo
Beanpole;Beanpole@yahoo.com;1:51:42,887
Beanpole;Beanpole@yahoo.com;3:11:45,816
Beanpole;Beanpole@yahoo.com;2:53:33,362
Beanpole;Beanpole@yahoo.com;2:12:18,463
Beanpole;Beanpole@yahoo.com;2:28:18,736
Red;Red@vtr.net;3:34:49,830
Red;Red@vtr.net;3:07:00,592
Red;Red@vtr.net;2:01:26,759
Red;Red@vtr.net;1:48:37,382
Red;Red@vtr.net;1:24:42,491
Twinkly;Twinkly@email.com;1:49:54,209
Twinkly;Twinkly@email.com;2:02:59,190
Twinkly;Twinkly@email.com;1:19:22,804
Twinkly;Twinkly@email.com;3:50:39,574
Twinkly;Twinkly@email.com;3:55:12,242
