apodo;correo;tiempo
Bruiser;Bruiser@email.com;1:26:19,831
Bruiser;Bruiser@email.com;2:34:19,776
Bruiser;Bruiser@email.com;1:54:03,781
Bruiser;Bruiser@email.com;2:17:42,152
Bruiser;Bruiser@email.com;2:44:51,884
Slade;Slade@yahoo.com;1:25:47,812
Slade;Slade@yahoo.com;1:07:27,767
Slade;Slade@yahoo.com;3:19:51,890
Slade;Slade@yahoo.com;2:10:31,081
Slade;Slade@yahoo.com;3:50:32,816
Sourdough;Sourdough@hotmail.com;2:38:57,946
Sourdough;Sourdough@hotmail.com;1:25:18,200
Sourdough;Sourdough@hotmail.com;1:12:12,353
Sourdough;Sourdough@hotmail.com;1:16:03,569
Sourdough;Sourdough@hotmail.com;2:02:15,605
Little_Baby;Little_Baby@gmail.com;2:21:24,893
Little_Baby;Little_Baby@gmail.com;1:14:03,265
Little_Baby;Little_Baby@gmail.com;2:38:56,370
Little_Baby;Little_Baby@gmail.com;1:55:42,387
Little_Baby;Little_Baby@gmail.com;3:23:19,085
