apodo;correo;tiempo
Pinkie;Pinkie@gmail.com;1:01:40,808
Pinkie;Pinkie@gmail.com;2:40:03,611
Pinkie;Pinkie@gmail.com;1:02:03,644
Pinkie;Pinkie@gmail.com;3:53:16,012
Pinkie;Pinkie@gmail.com;2:53:39,167
Bulma;Bulma@yahoo.com;3:01:16,883
Bulma;Bulma@yahoo.com;3:49:29,656
Bulma;Bulma@yahoo.com;2:38:02,746
Bulma;Bulma@yahoo.com;3:12:56,302
Bulma;Bulma@yahoo.com;1:04:16,324
FaithSeed;FaithSeed@vtr.net;2:36:02,257
FaithSeed;FaithSeed@vtr.net;1:31:38,577
FaithSeed;FaithSeed@vtr.net;3:34:43,042
FaithSeed;FaithSeed@vtr.net;2:12:09,152
FaithSeed;FaithSeed@vtr.net;2:36:05,317
Intense_Lulu;Intense_Lulu@email.com;2:24:01,674
Intense_Lulu;Intense_Lulu@email.com;1:45:08,556
Intense_Lulu;Intense_Lulu@email.com;1:14:07,113
Intense_Lulu;Intense_Lulu@email.com;2:34:40,440
Intense_Lulu;Intense_Lulu@email.com;1:55:49,128
Tootsie;Tootsie@vtr.net;2:12:50,471
Tootsie;Tootsie@vtr.net;3:55:34,205
Tootsie;Tootsie@vtr.net;3:40:16,422
Tootsie;Tootsie@vtr.net;3:59:43,057
Tootsie;Tootsie@vtr.net;2:22:17,440
