apodo;correo;tiempo
Cloud;Cloud@yahoo.com;1:10:02,325
Cloud;Cloud@yahoo.com;1:16:42,391
Cloud;Cloud@yahoo.com;1:48:09,984
Cloud;Cloud@yahoo.com;1:59:42,630
Cloud;Cloud@yahoo.com;2:26:55,181
Butterbuns;Butterbuns@gmail.com;3:56:09,818
Butterbuns;Butterbuns@gmail.com;3:07:35,255
Butterbuns;Butterbuns@gmail.com;2:57:50,109
Butterbuns;Butterbuns@gmail.com;2:48:02,717
Butterbuns;Butterbuns@gmail.com;1:50:20,213
Beavis;Beavis@vtr.net;1:14:52,425
Beavis;Beavis@vtr.net;2:24:56,576
Beavis;Beavis@vtr.net;2:50:49,787
Beavis;Beavis@vtr.net;2:41:09,765
Beavis;Beavis@vtr.net;1:08:34,448
Amethyst;Amethyst@gmail.com;2:30:13,120
Amethyst;Amethyst@gmail.com;3:02:06,354
Amethyst;Amethyst@gmail.com;1:13:31,523
Amethyst;Amethyst@gmail.com;1:33:40,249
Amethyst;Amethyst@gmail.com;3:59:19,720
Maestro;Maestro@vtr.net;3:19:12,622
Maestro;Maestro@vtr.net;1:37:37,874
Maestro;Maestro@vtr.net;3:12:42,698
Maestro;Maestro@vtr.net;2:11:14,045
Maestro;Maestro@vtr.net;2:04:31,449
