apodo;correo;tiempo
Compa;Compa@email.com;2:46:10,544
Compa;Compa@email.com;2:12:59,269
Compa;Compa@email.com;2:17:13,672
Compa;Compa@email.com;1:00:57,161
Compa;Compa@email.com;3:27:14,664
Biscuit;Biscuit@email.com;2:57:27,877
Biscuit;Biscuit@email.com;2:22:16,363
Biscuit;Biscuit@email.com;3:54:06,884
Biscuit;Biscuit@email.com;3:03:58,248
Biscuit;Biscuit@email.com;2:45:31,814
Barbarous_Federico;Barbarous_Federico@vtr.net;3:52:55,954
Barbarous_Federico;Barbarous_Federico@vtr.net;1:47:16,185
Barbarous_Federico;Barbarous_Federico@vtr.net;3:56:13,394
Barbarous_Federico;Barbarous_Federico@vtr.net;3:15:13,543
Barbarous_Federico;Barbarous_Federico@vtr.net;3:19:45,416
Blaze_Baley;Blaze_Baley@email.com;3:40:04,818
Blaze_Baley;Blaze_Baley@email.com;2:29:33,797
Blaze_Baley;Blaze_Baley@email.com;2:18:50,686
Blaze_Baley;Blaze_Baley@email.com;3:29:27,386
Blaze_Baley;Blaze_Baley@email.com;1:40:53,376
