apodo;correo;tiempo
Perro_Grande;Perro_Grande@gmail.com;3:45:52,751
Perro_Grande;Perro_Grande@gmail.com;2:06:36,049
Perro_Grande;Perro_Grande@gmail.com;2:31:52,906
Perro_Grande;Perro_Grande@gmail.com;3:10:59,540
Perro_Grande;Perro_Grande@gmail.com;2:00:51,652
Desolate_Lulu;Desolate_Lulu@hotmail.com;2:46:29,502
Desolate_Lulu;Desolate_Lulu@hotmail.com;2:15:04,866
Desolate_Lulu;Desolate_Lulu@hotmail.com;3:05:37,543
Desolate_Lulu;Desolate_Lulu@hotmail.com;2:47:39,024
Desolate_Lulu;Desolate_Lulu@hotmail.com;3:36:57,447
Hombre_de_acero;Hombre_de_acero@gmail.com;3:00:32,340
Hombre_de_acero;Hombre_de_acero@gmail.com;2:32:24,553
Hombre_de_acero;Hombre_de_acero@gmail.com;1:08:40,031
Hombre_de_acero;Hombre_de_acero@gmail.com;2:04:13,225
Hombre_de_acero;Hombre_de_acero@gmail.com;3:52:14,227
