apodo;correo;tiempo
Delfa;Delfa@vtr.net;1:37:28,572
Delfa;Delfa@vtr.net;2:15:18,383
Delfa;Delfa@vtr.net;2:29:57,589
Delfa;Delfa@vtr.net;3:31:52,894
Delfa;Delfa@vtr.net;3:35:41,785
Ace;Ace@vtr.net;1:54:48,640
Ace;Ace@vtr.net;2:01:10,145
Ace;Ace@vtr.net;1:19:30,387
Ace;Ace@vtr.net;2:16:09,701
Ace;Ace@vtr.net;2:55:26,174
Aphelion;Aphelion@hotmail.com;1:00:42,689
Aphelion;Aphelion@hotmail.com;3:35:24,061
Aphelion;Aphelion@hotmail.com;2:53:01,934
Aphelion;Aphelion@hotmail.com;3:40:58,835
Aphelion;Aphelion@hotmail.com;1:48:58,670
Cheeto;Cheeto@yahoo.com;2:15:30,440
Cheeto;Cheeto@yahoo.com;3:37:32,865
Cheeto;Cheeto@yahoo.com;3:51:11,081
Cheeto;Cheeto@yahoo.com;2:33:37,611
Cheeto;Cheeto@yahoo.com;3:20:29,878
