apodo;correo;tiempo
Ducky;Ducky@hotmail.com;1:59:41,670
Ducky;Ducky@hotmail.com;3:37:48,657
Ducky;Ducky@hotmail.com;2:35:09,429
Ducky;Ducky@hotmail.com;1:23:55,573
Ducky;Ducky@hotmail.com;2:19:07,069
Smirk;Smirk@vtr.net;3:03:22,632
Smirk;Smirk@vtr.net;3:55:24,584
Smirk;Smirk@vtr.net;1:53:28,108
Smirk;Smirk@vtr.net;3:56:56,758
Smirk;Smirk@vtr.net;2:17:43,641
Wilma;Wilma@yahoo.com;2:00:09,037
Wilma;Wilma@yahoo.com;2:54:12,840
Wilma;Wilma@yahoo.com;1:00:20,350
Wilma;Wilma@yahoo.com;2:23:55,009
Wilma;Wilma@yahoo.com;3:18:57,933
Hollywood;Hollywood@yahoo.com;2:35:15,024
Hollywood;Hollywood@yahoo.com;2:31:47,669
Hollywood;Hollywood@yahoo.com;1:18:23,878
Hollywood;Hollywood@yahoo.com;2:56:35,157
Hollywood;Hollywood@yahoo.com;2:00:56,452
