apodo;correo;tiempo
Supi;Supi@email.com;2:03:01,583
Supi;Supi@email.com;1:18:36,752
Supi;Supi@email.com;2:37:11,490
Supi;Supi@email.com;1:54:52,992
Supi;Supi@email.com;2:19:49,840
Hottie;Hottie@yahoo.com;3:58:30,792
Hottie;Hottie@yahoo.com;3:48:35,228
Hottie;Hottie@yahoo.com;2:44:02,802
Hottie;Hottie@yahoo.com;3:51:34,759
Hottie;Hottie@yahoo.com;1:13:57,345
Devil;Devil@vtr.net;2:42:12,501
Devil;Devil@vtr.net;1:08:29,117
Devil;Devil@vtr.net;1:05:13,419
Devil;Devil@vtr.net;1:26:40,482
Devil;Devil@vtr.net;2:39:13,932
Sirius;Sirius@vtr.net;1:26:29,563
Sirius;Sirius@vtr.net;2:05:21,806
Sirius;Sirius@vtr.net;1:16:10,105
Sirius;Sirius@vtr.net;1:54:03,781
Sirius;Sirius@vtr.net;1:53:18,458
Ami;Ami@gmail.com;3:18:55,352
Ami;Ami@gmail.com;2:14:38,844
Ami;Ami@gmail.com;1:49:33,627
Ami;Ami@gmail.com;2:21:39,777
Ami;Ami@gmail.com;1:49:47,546
Backbone;Backbone@hotmail.com;2:26:03,101
Backbone;Backbone@hotmail.com;1:19:17,103
Backbone;Backbone@hotmail.com;3:10:51,971
Backbone;Backbone@hotmail.com;3:12:00,965
Backbone;Backbone@hotmail.com;1:33:32,035
