apodo;correo;tiempo
Slayer;Slayer@yahoo.com;2:58:47,974
Slayer;Slayer@yahoo.com;1:45:00,365
Slayer;Slayer@yahoo.com;3:25:52,086
Slayer;Slayer@yahoo.com;2:57:35,630
Slayer;Slayer@yahoo.com;3:32:32,597
Warrior;Warrior@email.com;2:40:14,927
Warrior;Warrior@email.com;1:57:13,598
Warrior;Warrior@email.com;1:07:45,401
Warrior;Warrior@email.com;2:00:13,618
Warrior;Warrior@email.com;1:01:07,123
Dracula;Dracula@hotmail.com;2:28:07,228
Dracula;Dracula@hotmail.com;3:22:11,838
Dracula;Dracula@hotmail.com;2:41:38,931
Dracula;Dracula@hotmail.com;2:10:36,066
Dracula;Dracula@hotmail.com;2:01:47,833
Dominator;Dominator@email.com;1:08:01,463
Dominator;Dominator@email.com;2:17:02,530
Dominator;Dominator@email.com;3:04:19,955
Dominator;Dominator@email.com;2:19:32,935
Dominator;Dominator@email.com;1:51:16,434
Outlander;Outlander@hotmail.com;2:32:23,702
Outlander;Outlander@hotmail.com;2:18:13,287
Outlander;Outlander@hotmail.com;3:12:59,184
Outlander;Outlander@hotmail.com;2:46:20,006
Outlander;Outlander@hotmail.com;3:06:09,122
Cold_Brew;Cold_Brew@vtr.net;1:38:00,379
Cold_Brew;Cold_Brew@vtr.net;3:09:45,911
Cold_Brew;Cold_Brew@vtr.net;3:22:13,703
Cold_Brew;Cold_Brew@vtr.net;3:51:16,212
Cold_Brew;Cold_Brew@vtr.net;3:32:15,648
The_Bob_Suffix;The_Bob_Suffix@email.com;3:45:52,240
The_Bob_Suffix;The_Bob_Suffix@email.com;2:50:08,181
The_Bob_Suffix;The_Bob_Suffix@email.com;1:57:22,983
The_Bob_Suffix;The_Bob_Suffix@email.com;3:47:15,515
The_Bob_Suffix;The_Bob_Suffix@email.com;1:33:10,567
Freak;Freak@hotmail.com;1:45:47,802
Freak;Freak@hotmail.com;2:43:20,646
Freak;Freak@hotmail.com;3:18:21,230
Freak;Freak@hotmail.com;2:28:00,685
Freak;Freak@hotmail.com;1:22:29,809
