apodo;correo;tiempo
Dark_light;Dark_light@email.com;3:55:02,101
Dark_light;Dark_light@email.com;3:03:52,612
Dark_light;Dark_light@email.com;1:41:22,655
Dark_light;Dark_light@email.com;2:47:49,920
Dark_light;Dark_light@email.com;3:54:47,249
Omega;Omega@hotmail.com;3:16:50,606
Omega;Omega@hotmail.com;3:23:04,988
Omega;Omega@hotmail.com;2:00:43,755
Omega;Omega@hotmail.com;1:37:01,116
Omega;Omega@hotmail.com;1:32:51,625
Sassy;Sassy@yahoo.com;2:28:07,033
Sassy;Sassy@yahoo.com;1:01:55,057
Sassy;Sassy@yahoo.com;1:15:49,594
Sassy;Sassy@yahoo.com;2:39:43,898
Sassy;Sassy@yahoo.com;2:42:18,422
