apodo;correo;tiempo
Lobster;Lobster@yahoo.com;1:47:30,146
Lobster;Lobster@yahoo.com;2:13:49,157
Lobster;Lobster@yahoo.com;3:31:14,409
Lobster;Lobster@yahoo.com;2:46:15,210
Lobster;Lobster@yahoo.com;3:13:07,182
Rage;Rage@email.com;3:36:04,636
Rage;Rage@email.com;2:26:51,777
Rage;Rage@email.com;3:45:02,996
Rage;Rage@email.com;2:19:07,069
Rage;Rage@email.com;3:27:06,622
Chili;Chili@email.com;2:59:16,082
Chili;Chili@email.com;1:21:22,217
Chili;Chili@email.com;1:37:32,314
Chili;Chili@email.com;1:21:17,402
Chili;Chili@email.com;2:01:42,442
