apodo;correo;tiempo
Mad_Max;Mad_Max@email.com;2:55:32,653
Mad_Max;Mad_Max@email.com;3:15:27,215
Mad_Max;Mad_Max@email.com;2:55:51,581
Mad_Max;Mad_Max@email.com;1:01:16,486
Mad_Max;Mad_Max@email.com;2:08:35,674
Boomer;Boomer@gmail.com;3:11:12,505
Boomer;Boomer@gmail.com;3:55:34,205
Boomer;Boomer@gmail.com;2:49:16,745
Boomer;Boomer@gmail.com;1:18:04,013
Boomer;Boomer@gmail.com;1:35:10,712
Pandora;Pandora@vtr.net;1:06:49,904
Pandora;Pandora@vtr.net;2:06:47,340
Pandora;Pandora@vtr.net;2:37:47,497
Pandora;Pandora@vtr.net;2:16:08,599
Pandora;Pandora@vtr.net;2:45:30,150
Peppa_Pig;Peppa_Pig@vtr.net;2:56:42,998
Peppa_Pig;Peppa_Pig@vtr.net;2:50:26,253
Peppa_Pig;Peppa_Pig@vtr.net;2:33:05,468
Peppa_Pig;Peppa_Pig@vtr.net;3:35:42,431
Peppa_Pig;Peppa_Pig@vtr.net;2:58:30,091
Through_Lulu;Through_Lulu@hotmail.com;1:15:52,405
Through_Lulu;Through_Lulu@hotmail.com;1:45:16,267
Through_Lulu;Through_Lulu@hotmail.com;3:58:07,746
Through_Lulu;Through_Lulu@hotmail.com;1:47:50,882
Through_Lulu;Through_Lulu@hotmail.com;3:37:54,962
