apodo;correo;tiempo
Baduk;Baduk@hotmail.com;3:50:32,816
Baduk;Baduk@hotmail.com;3:29:20,809
Baduk;Baduk@hotmail.com;2:14:02,783
Baduk;Baduk@hotmail.com;1:07:36,602
Baduk;Baduk@hotmail.com;2:41:38,045
Cheddar;Cheddar@yahoo.com;3:06:40,482
Cheddar;Cheddar@yahoo.com;1:32:19,671
Cheddar;Cheddar@yahoo.com;3:48:02,601
Cheddar;Cheddar@yahoo.com;3:18:48,831
Cheddar;Cheddar@yahoo.com;1:08:21,803
Whiplash;Whiplash@hotmail.com;1:40:48,159
Whiplash;Whiplash@hotmail.com;3:00:29,960
Whiplash;Whiplash@hotmail.com;3:57:04,052
Whiplash;Whiplash@hotmail.com;1:36:10,720
Whiplash;Whiplash@hotmail.com;3:30:27,194
Dudu;Dudu@hotmail.com;1:25:01,915
Dudu;Dudu@hotmail.com;3:29:42,370
Dudu;Dudu@hotmail.com;1:31:51,731
Dudu;Dudu@hotmail.com;3:58:18,048
Dudu;Dudu@hotmail.com;3:35:57,166
Cello;Cello@email.com;2:28:12,717
Cello;Cello@email.com;2:35:27,313
Cello;Cello@email.com;3:19:45,552
Cello;Cello@email.com;3:34:15,609
Cello;Cello@email.com;2:04:18,517
