apodo;correo;tiempo
Brown_Sugar;Brown_Sugar@vtr.net;2:59:23,079
Brown_Sugar;Brown_Sugar@vtr.net;2:38:20,844
Brown_Sugar;Brown_Sugar@vtr.net;3:38:47,012
Brown_Sugar;Brown_Sugar@vtr.net;1:02:48,059
Brown_Sugar;Brown_Sugar@vtr.net;3:28:04,449
Crumpled_Federico;Crumpled_Federico@hotmail.com;1:33:11,564
Crumpled_Federico;Crumpled_Federico@hotmail.com;2:17:04,368
Crumpled_Federico;Crumpled_Federico@hotmail.com;1:46:29,150
Crumpled_Federico;Crumpled_Federico@hotmail.com;1:03:56,208
Crumpled_Federico;Crumpled_Federico@hotmail.com;3:13:21,556
Tamed_Federico;Tamed_Federico@email.com;2:25:50,357
Tamed_Federico;Tamed_Federico@email.com;3:07:12,002
Tamed_Federico;Tamed_Federico@email.com;3:10:26,394
Tamed_Federico;Tamed_Federico@email.com;1:22:01,571
Tamed_Federico;Tamed_Federico@email.com;1:48:17,247
Tater;Tater@yahoo.com;3:04:51,833
Tater;Tater@yahoo.com;1:42:36,681
Tater;Tater@yahoo.com;1:08:24,295
Tater;Tater@yahoo.com;2:48:17,158
Tater;Tater@yahoo.com;1:08:51,209
Dejected_Federico;Dejected_Federico@hotmail.com;2:53:58,210
Dejected_Federico;Dejected_Federico@hotmail.com;3:03:23,129
Dejected_Federico;Dejected_Federico@hotmail.com;3:42:59,412
Dejected_Federico;Dejected_Federico@hotmail.com;1:12:05,457
Dejected_Federico;Dejected_Federico@hotmail.com;1:12:59,753
Gran_oso;Gran_oso@gmail.com;2:12:49,999
Gran_oso;Gran_oso@gmail.com;3:13:02,892
Gran_oso;Gran_oso@gmail.com;3:52:28,283
Gran_oso;Gran_oso@gmail.com;3:28:06,023
Gran_oso;Gran_oso@gmail.com;3:40:33,031
