apodo;correo;tiempo
Elflike_Lulu;Elflike_Lulu@gmail.com;3:35:01,027
Elflike_Lulu;Elflike_Lulu@gmail.com;3:17:56,331
Elflike_Lulu;Elflike_Lulu@gmail.com;2:21:47,918
Elflike_Lulu;Elflike_Lulu@gmail.com;2:24:16,476
Elflike_Lulu;Elflike_Lulu@gmail.com;3:17:30,326
Michi;Michi@hotmail.com;2:19:51,245
Michi;Michi@hotmail.com;3:04:49,939
Michi;Michi@hotmail.com;1:24:51,520
Michi;Michi@hotmail.com;1:47:16,671
Michi;Michi@hotmail.com;2:52:37,380
Comatose_Lulu;Comatose_Lulu@email.com;3:54:12,080
Comatose_Lulu;Comatose_Lulu@email.com;2:02:24,396
Comatose_Lulu;Comatose_Lulu@email.com;2:13:33,071
Comatose_Lulu;Comatose_Lulu@email.com;2:59:37,119
Comatose_Lulu;Comatose_Lulu@email.com;3:47:44,365
