apodo;correo;tiempo
Light-duty_Lulu;Light-duty_Lulu@vtr.net;3:14:04,400
Light-duty_Lulu;Light-duty_Lulu@vtr.net;2:44:25,767
Light-duty_Lulu;Light-duty_Lulu@vtr.net;1:08:53,535
Light-duty_Lulu;Light-duty_Lulu@vtr.net;3:07:58,467
Light-duty_Lulu;Light-duty_Lulu@vtr.net;1:21:37,328
Lacklustre_Lulu;Lacklustre_Lulu@gmail.com;3:30:39,087
Lacklustre_Lulu;Lacklustre_Lulu@gmail.com;3:18:42,963
Lacklustre_Lulu;Lacklustre_Lulu@gmail.com;1:22:46,327
Lacklustre_Lulu;Lacklustre_Lulu@gmail.com;1:49:20,723
Lacklustre_Lulu;Lacklustre_Lulu@gmail.com;2:14:04,895
Namish;Namish@hotmail.com;3:44:07,403
Namish;Namish@hotmail.com;1:57:55,662
Namish;Namish@hotmail.com;1:14:31,694
Namish;Namish@hotmail.com;3:59:42,727
Namish;Namish@hotmail.com;1:39:12,873
